AsOfDate,DataSource,Nsp_Account_Id,Account_Symbol,Src_Sec_Id,sds_id,Units,Market_Price,Market_Value_Amt_Func,Market_Value_Amt_Rpt,Market_Value_Amt_Lcl,WeightFunc,Amort_Value,Src_Ticker_Symbol,AccruedIncome_Func,AccruedIncome_Rpt,AccruedIncome_Lcl,SecIdtype,SecClassId,Contract_size,Trading_Units,Custom_Sec_Ind,Amort_Price,Reconciled_Flg,Func_Currency_Cd,Func_Currency_Id,Src_MarketValue_Local_Currency_Cd,Src_MarketValue_Local_Currency_Id,Src_Income_Local_Currency_Cd,Src_Income_local_Currency_Id,Short_Term_Flg,Src_Account_Nbr,Dup_Account_Symbol,Major_Issue_Cd,Minor_Issue_Cd,Is_Active,Valid_Start_Dt,Originating_Inc_Curr_Cd,Originating_Principal_Curr_Cd,ISSUE_TYPE_CD,SCREEN_GRP_CD,Src_Functional_Currency_Cd,Src_Futures_GainLoss_Amt_Func,Src_Futures_GainLoss_Amt_Rpt,Swap_Ind,Primary_Spread,Primary_Spread_Type,Effective_Spread,Effective_Spread_Type,Sec_class_Lvl1_cd,Sec_class_Lvl1,Sec_class_Lvl2_cd,Sec_class_Lvl2,Sec_class_Lvl3_cd,Sec_class_Lvl3,SRC_LIN,SRC_LOANXID,CINS,CUSIP,IDBBUNIQUE,ISIN,SEDOL1,SEDOL2,TICKER,EXCHANGE_CD,PARAMOUNT_FUNC,PARAMOUNT_RPT,TKR_AND_EXCH_CD,BookValue_Func,BookValue_Rpt,BookValue_Lcl,Cost_Func,Cost_Rpt,Cost_Lcl,OPS_Notional_Amt,OPS_Notional_Amt_Curr,IDBBGLOBAL,EXPOSURE_FUNC,EXPOSURE_LCL,EXPOSURE_RPT,BALOFFBALVAL_FUNC,BALOFFBALVAL_LCL,BALOFFBALVAL_RPT,BANK_LOAN_OUTSTANDING,SRC_OSI_ID,NET_VM_FUNC,NET_VM_LCL,NET_VM_RPT,CLIENT_SRC_SEC_ID
20201023,SST,11,AFFIL,00206R102,,2230949,27.82,62065001.18,62065001.18,62065001.18,,82886584.58,T,1165865.48,1165865.48,1165865.48,,,1,1,,,N,USD,3,USD,3,USD,3,N,AFFIL,AFFIL,030,030,Y,20201116,USD,USD,,,USD,-20821583.4,-20821583.4,N,,,,,,,,,,,,,,,,,,,,,,,,82886584.58,82886584.58,82886584.58,82886584.58,82886584.58,82886584.58,0,,,,,,,,,,,0,0,0,00206R102
20201023,SST,11,AFFIL,002824100,,545500,107.79,58799445,58799445,58799445,,54006422.74,ABT,169884,169884,169884,,,1,1,,,N,USD,3,USD,3,USD,3,N,AFFIL,AFFIL,030,030,Y,20201116,USD,USD,,,USD,4793022.26,4793022.26,N,,,,,,,,,,,,,,,,,,,,,,,,54006422.74,54006422.74,54006422.74,54006422.74,54006422.74,54006422.74,0,,,,,,,,,,,0,0,0,002824100
20201023,SST,11,AFFIL,00287Y109,,1156000,84.34,97497040,97497040,97497040,,110949508,ABBV,1368564,1368564,1368564,,,1,1,,,N,USD,3,USD,3,USD,3,N,AFFIL,AFFIL,030,030,Y,20201116,USD,USD,,,USD,-13452468,-13452468,N,,,,,,,,,,,,,,,,,,,,,,,,110949508,110949508,110949508,110949508,110949508,110949508,0,,,,,,,,,,,0,0,0,00287Y109
20201023,SST,11,AFFIL,009158106,,361800,294,106369200,106369200,106369200,,81387690.7,APD,489502,489502,489502,,,1,1,,,N,USD,3,USD,3,USD,3,N,AFFIL,AFFIL,030,030,Y,20201116,USD,USD,,,USD,24981509.3,24981509.3,N,,,,,,,,,,,,,,,,,,,,,,,,81387690.7,81387690.7,81387690.7,81387690.7,81387690.7,81387690.7,0,,,,,,,,,,,0,0,0,009158106
20201023,SST,11,AFFIL,015271109,,529800,160.54,85054092,85054092,85054092,,82972256.83,ARE,0,0,0,,,1,1,,,N,USD,3,USD,3,USD,3,N,AFFIL,AFFIL,040,040,Y,20201116,USD,USD,,,USD,2081835.17,2081835.17,N,,,,,,,,,,,,,,,,,,,,,,,,82972256.83,82972256.83,82972256.83,82972256.83,82972256.83,82972256.83,0,,,,,,,,,,,0,0,0,015271109
20201023,SST,11,AFFIL,02005N100,,2219800,29.08,64551784,64551784,64551784,,62295696.86,ALLY,0,0,0,,,1,1,,,N,USD,3,USD,3,USD,3,N,AFFIL,AFFIL,030,030,Y,20201116,USD,USD,,,USD,2256087.14,2256087.14,N,,,,,,,,,,,,,,,,,,,,,,,,62295696.86,62295696.86,62295696.86,62295696.86,62295696.86,62295696.86,0,,,,,,,,,,,0,0,0,02005N100
20201023,SST,11,AFFIL,025816109,,524800,100.98,52994304,52994304,52994304,,51207832.32,AXP,226739,226739,226739,,,1,1,,,N,USD,3,USD,3,USD,3,N,AFFIL,AFFIL,030,030,Y,20201116,USD,USD,,,USD,1786471.68,1786471.68,N,,,,,,,,,,,,,,,,,,,,,,,,51207832.32,51207832.32,51207832.32,51207832.32,51207832.32,51207832.32,0,,,,,,,,,,,0,0,0,025816109
20201023,SST,11,AFFIL,03076C106,,433200,170.39,73812948,73812948,73812948,,65801856.06,AMP,0,0,0,,,1,1,,,N,USD,3,USD,3,USD,3,N,AFFIL,AFFIL,030,030,Y,20201116,USD,USD,,,USD,8011091.94,8011091.94,N,,,,,,,,,,,,,,,,,,,,,,,,65801856.06,65801856.06,65801856.06,65801856.06,65801856.06,65801856.06,0,,,,,,,,,,,0,0,0,03076C106
20201023,SST,11,AFFIL,031162100,,307000,227.16,69738120,69738120,69738120,,66904509.4,AMGN,0,0,0,,,1,1,,,N,USD,3,USD,3,USD,3,N,AFFIL,AFFIL,030,030,Y,20201116,USD,USD,,,USD,2833610.6,2833610.6,N,,,,,,,,,,,,,,,,,,,,,,,,66904509.4,66904509.4,66904509.4,66904509.4,66904509.4,66904509.4,0,,,,,,,,,,,0,0,0,031162100
20201023,SST,11,AFFIL,032654105,,576700,124.2,71626140,71626140,71626140,,65145440.52,ADI,0,0,0,,,1,1,,,N,USD,3,USD,3,USD,3,N,AFFIL,AFFIL,030,030,Y,20201116,USD,USD,,,USD,6480699.48,6480699.48,N,,,,,,,,,,,,,,,,,,,,,,,,65145440.52,65145440.52,65145440.52,65145440.52,65145440.52,65145440.52,0,,,,,,,,,,,0,0,0,032654105
20201023,SST,11,AFFIL,037833100,,624900,115.04,71888496,71888496,71888496,,42724204.8,AAPL,0,0,0,,,1,1,,,N,USD,3,USD,3,USD,3,N,AFFIL,AFFIL,030,030,Y,20201116,USD,USD,,,USD,29164291.2,29164291.2,N,,,,,,,,,,,,,,,,,,,,,,,,42724204.8,42724204.8,42724204.8,42724204.8,42724204.8,42724204.8,0,,,,,,,,,,,0,0,0,037833100
20201023,SST,11,AFFIL,046353108,,1637100,52,85129200,85129200,85129200,,91043289.68,AZN,0,0,0,,,1,1,,,N,USD,3,USD,3,USD,3,N,AFFIL,AFFIL,030,030,Y,20201116,USD,USD,,,USD,-5914089.68,-5914089.68,N,,,,,,,,,,,,,,,,,,,,,,,,91043289.68,91043289.68,91043289.68,91043289.68,91043289.68,91043289.68,0,,,,,,,,,,,0,0,0,046353108
20201023,SST,11,AFFIL,053611109,,505300,141.74,71621222,71621222,71621222,,58288902.33,AVY,0,0,0,,,1,1,,,N,USD,3,USD,3,USD,3,N,AFFIL,AFFIL,030,030,Y,20201116,USD,USD,,,USD,13332319.67,13332319.67,N,,,,,,,,,,,,,,,,,,,,,,,,58288902.33,58288902.33,58288902.33,58288902.33,58288902.33,58288902.33,0,,,,,,,,,,,0,0,0,053611109
20201023,SST,11,AFFIL,060505104,,4083700,24.9,101684130,101684130,101684130,,148250888.7,BAC,0,0,0,,,1,1,,,N,USD,3,USD,3,USD,3,N,AFFIL,AFFIL,030,030,Y,20201116,USD,USD,,,USD,-46566758.68,-46566758.68,N,,,,,,,,,,,,,,,,,,,,,,,,148250888.7,148250888.7,148250888.7,148250888.7,148250888.7,148250888.7,0,,,,,,,,,,,0,0,0,060505104
