AsOfDate,DataSource,Nsp_Account_Id,Account_Symbol,Src_Sec_Id,sds_id,Units,Market_Price,Market_Value_Amt_Func,Market_Value_Amt_Rpt,Market_Value_Amt_Lcl,WeightFunc,Amort_Value,Src_Ticker_Symbol,AccruedIncome_Func,AccruedIncome_Rpt,AccruedIncome_Lcl,SecIdtype,SecClassId,Contract_size,Trading_Units,Custom_Sec_Ind,Amort_Price,Reconciled_Flg,Func_Currency_Cd,Func_Currency_Id,Src_MarketValue_Local_Currency_Cd,Src_MarketValue_Local_Currency_Id,Src_Income_Local_Currency_Cd,Src_Income_local_Currency_Id,Short_Term_Flg,Src_Account_Nbr,Dup_Account_Symbol,Major_Issue_Cd,Minor_Issue_Cd,Is_Active,Valid_Start_Dt,Originating_Inc_Curr_Cd,Originating_Principal_Curr_Cd,ISSUE_TYPE_CD,SCREEN_GRP_CD,Src_Functional_Currency_Cd,Src_Futures_GainLoss_Amt_Func,Src_Futures_GainLoss_Amt_Rpt,Swap_Ind,Primary_Spread,Primary_Spread_Type,Effective_Spread,Effective_Spread_Type,Sec_class_Lvl1_cd,Sec_class_Lvl1,Sec_class_Lvl2_cd,Sec_class_Lvl2,Sec_class_Lvl3_cd,Sec_class_Lvl3,SRC_LIN,SRC_LOANXID,CINS,CUSIP,IDBBUNIQUE,ISIN,SEDOL1,SEDOL2,TICKER,EXCHANGE_CD,PARAMOUNT_FUNC,PARAMOUNT_RPT,TKR_AND_EXCH_CD,BookValue_Func,BookValue_Rpt,BookValue_Lcl,Cost_Func,Cost_Rpt,Cost_Lcl,OPS_Notional_Amt,OPS_Notional_Amt_Curr,IDBBGLOBAL,EXPOSURE_FUNC,EXPOSURE_LCL,EXPOSURE_RPT,BALOFFBALVAL_FUNC,BALOFFBALVAL_LCL,BALOFFBALVAL_RPT,BANK_LOAN_OUTSTANDING,SRC_OSI_ID,NET_VM_FUNC,NET_VM_LCL,NET_VM_RPT
20201104,SCD,2,LATFCALFS,00037CUQ1,,1000000,104.562,1045620,1045620,1045620,0.193939,-10969.85,,23611.11,23611.11,23611.11,CUSIP,,1,0.01,N,,N,USD,3,USD,3,USD,3,N,LATFCALFS,LATFCALFS,,,Y,20201105,USD,USD,,,USD,,,N,,,,,SGD,Straight Debt,MUN,Municipal,SBD,Bond,,,,00037CUQ1,FF000EC8948,US00037CUQ13,,,AFAGEN,,,,,1062690,1062690,1062690,1062690,1062690,1062690,0,,BBG004LV6Q05,,,,0,0,0,0,,0,0,0
20201104,SCD,2,LATFCALFS,00037CVN7,,1000000,108.886,1088860,1088860,1088860,0.201959,-2179.31,,13055.56,13055.56,13055.56,CUSIP,,1,0.01,N,,N,USD,3,USD,3,USD,3,N,LATFCALFS,LATFCALFS,,,Y,20201105,USD,USD,,,USD,,,N,,,,,SGD,Straight Debt,MUN,Municipal,SBD,Bond,,,,00037CVN7,FF000EDDEAE,US00037CVN72,,,AFAGEN,,,,,1021930,1021930,1021930,1021930,1021930,1021930,0,,BBG005XKHYZ6,,,,0,0,0,0,,0,0,0
20201104,SCD,2,LATFCALFS,006797BY9,,1335000,121.674,1624347.9,1624347.9,1624347.9,0.30128,-11476.64,,22991.67,22991.67,22991.67,CUSIP,,1,0.01,N,,N,USD,3,USD,3,USD,3,N,LATFCALFS,LATFCALFS,,,Y,20201105,USD,USD,,,USD,,,N,,,,,SGD,Straight Debt,MUN,Municipal,SBD,Bond,,,,006797BY9,FF000F8E060,US006797BY94,,,ADEUTL,,,,,1536239.7,1536239.7,1536239.7,1536239.7,1536239.7,1536239.7,0,,BBG00JHP0P71,,,,0,0,0,0,,0,0,0
20201104,SCD,2,LATFCALFS,010869AT2,,750000,74.003,555022.5,555022.5,555022.5,0.102944,12835.49,,0,0,0,CUSIP,,1,0.01,N,,N,USD,3,USD,3,USD,3,N,LATFCALFS,LATFCALFS,,,Y,20201105,USD,USD,,,USD,,,N,,,,,SGD,Straight Debt,MUN,Municipal,SBD,Bond,,,,010869AT2,FF000C5E811,US010869AT22,,,ALATRN,,,,,540390,540390,540390,540390,540390,540390,0,,BBG0011VK9Z7,,,,0,0,0,0,,0,0,0
20201104,SCD,2,LATFCALFS,010869GQ2,,1425000,111.38,1587165,1587165,1587165,0.294383,-70161.83,,6729.17,6729.17,6729.17,CUSIP,,1,0.01,N,,N,USD,3,USD,3,USD,3,N,LATFCALFS,LATFCALFS,,,Y,20201105,USD,USD,,,USD,,,N,,,,,SGD,Straight Debt,MUN,Municipal,SBD,Bond,,,,010869GQ2,FF000EB9EEC,US010869GQ29,,,ALATRN,,,,,1651892.25,1651892.25,1651892.25,1651892.25,1651892.25,1651892.25,0,,BBG0042Q7R68,,,,0,0,0,0,,0,0,0
20201104,SCD,2,LATFCALFS,010869HA6,,1500000,115.779,1736685,1736685,1736685,0.322116,-42868.14,,7083.33,7083.33,7083.33,CUSIP,,1,0.01,N,,N,USD,3,USD,3,USD,3,N,LATFCALFS,LATFCALFS,,,Y,20201105,USD,USD,,,USD,,,N,,,,,SGD,Straight Debt,MUN,Municipal,SBD,Bond,,,,010869HA6,FF000F3D7A9,US010869HA67,,,ALATRN,,,,,1779915,1779915,1779915,1779915,1779915,1779915,0,,BBG00CW84RP9,,,,0,0,0,0,,0,0,0
20201104,SCD,2,LATFCALFS,010869HB4,,2415000,115.518,2789759.7,2789759.7,2789759.7,0.517437,-6591.41,,11404.17,11404.17,11404.17,CUSIP,,1,0.01,N,,N,USD,3,USD,3,USD,3,N,LATFCALFS,LATFCALFS,,,Y,20201105,USD,USD,,,USD,,,N,,,,,SGD,Straight Debt,MUN,Municipal,SBD,Bond,,,,010869HB4,FF000F3D7AC,US010869HB41,,,ALATRN,,,,,2780257.6,2780257.6,2780257.6,2780257.6,2780257.6,2780257.6,0,,BBG00CW84RS6,,,,0,0,0,0,,0,0,0
20201104,SCD,2,LATFCALFS,010869HF5,,2030000,110.417,2241465.1,2241465.1,2241465.1,0.415741,-5903.62,,7668.89,7668.89,7668.89,CUSIP,,1,0.01,N,,N,USD,3,USD,3,USD,3,N,LATFCALFS,LATFCALFS,,,Y,20201105,USD,USD,,,USD,,,N,,,,,SGD,Straight Debt,MUN,Municipal,SBD,Bond,,,,010869HF5,FF000F3D7AD,US010869HF54,,,ALATRN,,,,,2138780.9,2138780.9,2138780.9,2138780.9,2138780.9,2138780.9,0,,BBG00CW84RT5,,,,0,0,0,0,,0,0,0
20201104,SCD,2,LATFCALFS,012104RP2,,1000000,112.59,1125900,1125900,1125900,0.208829,1273.59,,10444.44,10444.44,10444.44,CUSIP,,1,0.01,N,,N,USD,3,USD,3,USD,3,N,LATFCALFS,LATFCALFS,,,Y,20201105,USD,USD,,,USD,,,N,,,,,SGD,Straight Debt,MUN,Municipal,SBD,Bond,,,,012104RP2,FF000F9FF26,US012104RP28,,,ALBSCD,,,,,1032430,1032430,1032430,1032430,1032430,1032430,0,,BBG00LDNF2T6,,,,0,0,0,0,,0,0,0
20201104,SCD,2,LATFCALFS,03255LHQ5,,2000000,118.81,2376200,2376200,2376200,0.440731,-23991.31,,17777.78,17777.78,17777.78,CUSIP,,1,0.01,N,,N,USD,3,USD,3,USD,3,N,LATFCALFS,LATFCALFS,,,Y,20201105,USD,USD,,,USD,,,N,,,,,SGD,Straight Debt,MUN,Municipal,SBD,Bond,,,,03255LHQ5,FF000FB97FA,US03255LHQ59,,,ANAGEN,,,,,2374060,2374060,2374060,2374060,2374060,2374060,0,,BBG00NX0QRC1,,,,0,0,0,0,,0,0,0
